,20_1,20_1_gen,20_2,20_2_gen,20_3,20_3_gen,20_4,20_4_gen,20_5,20_5_gen,20_6,20_6_gen
39,궁수의 전설,액션,뇌명천하,롤플레잉,위피 - 동네 친구가 필요할 때,소셜,꿈의 집 (Homescapes),캐주얼 게임,삼국지M,전략,브롤스타즈,액션
40,위피 - 동네 친구가 필요할 때,소셜,꿈의 집 (Homescapes),캐주얼 게임,브롤스타즈,액션,프린세스 커넥트! Re:Dive,롤플레잉,에픽세븐,롤플레잉,꿈의 집 (Homescapes),캐주얼 게임
41,꿈의 집 (Homescapes),캐주얼 게임,엑소스 히어로즈,롤플레잉,모두의마블,보드,라이프애프터,어드벤처,컴투스프로야구2020,스포츠,벅스 - Bugs,음악/오디오
42,라플라스M,롤플레잉,"아자르 Azar -라이브로 친구찾기, 영상메신저",커뮤니케이션,R5,롤플레잉,벅스 - Bugs,음악/오디오,"아자르 Azar -라이브로 친구찾기, 영상메신저",커뮤니케이션,킹오파 익스트림 매치,롤플레잉
43,브롤스타즈,액션,리치리치,시뮬레이션,벅스 - Bugs,음악/오디오,이사만루3,스포츠,마피아42,전략,라플라스M,롤플레잉
44,붕괴3rd,액션,벅스 - Bugs,음악/오디오,"아자르 Azar -라이브로 친구찾기, 영상메신저",커뮤니케이션,모두의마블,보드,서머너즈 워: 천공의 아레나,롤플레잉,D-MEN: 히어로 컴백,전략
45,다음웹툰 - DAUM WEBTOON,만화,궁수의 전설,액션,로드 오브 히어로즈,롤플레잉,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,검은사막 모바일,롤플레잉,하쿠나 라이브 -  Live 방송,엔터테인먼트
46,벅스 - Bugs,음악/오디오,랑그릿사,전략,라플라스M,롤플레잉,달빛조각사,롤플레잉,원피스 트레저 크루즈,롤플레잉,다음웹툰 - DAUM WEBTOON,만화
47,Age of Z,전략,위피 - 동네 친구가 필요할 때,소셜,글램 - 모든 매력적인 만남,데이트,라지엘,롤플레잉,다음웹툰 - DAUM WEBTOON,만화,서머너즈 워: 천공의 아레나,롤플레잉
48,Idle Heroes - 아이들 히어로즈,롤플레잉,프린세스 커넥트! Re:Dive,롤플레잉,eFootball PES 2020,스포츠,Pokémon GO,어드벤처,벅스 - Bugs,음악/오디오,eFootball PES 2020,스포츠
49,랑그릿사,전략,샤이닝라이트,롤플레잉,마피아42,전략,서머너즈 워: 천공의 아레나,롤플레잉,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,로드 오브 히어로즈,롤플레잉
50,달빛조각사,롤플레잉,하쿠나 라이브 -  Live 방송,엔터테인먼트,엠파이어 & 퍼즐 (Empires & Puzzles),롤플레잉,위피 - 동네 친구가 필요할 때,소셜,Pokémon GO,어드벤처,궁3D,롤플레잉
51,마피아42,전략,엠파이어 & 퍼즐 (Empires & Puzzles),롤플레잉,라스트 쉘터 (Last Shelter: Survival),전략,블레스 모바일,롤플레잉,붕괴3rd,액션,삼국지 오리진,전략
52,꽃피는 달빛,시뮬레이션,카운터사이드,롤플레잉,랑그릿사,전략,로드 오브 히어로즈,롤플레잉,건쉽배틀 토탈워페어,전략,리니지M(12),롤플레잉
53,모두의마블,보드,서머너즈 워: 천공의 아레나,롤플레잉,궁수의 전설,액션,다음웹툰 - DAUM WEBTOON,만화,킹오파 익스트림 매치,롤플레잉,컴투스프로야구2020,스포츠
54,클래시 로얄,전략,eFootball PES 2020,스포츠,컴투스프로야구2020,스포츠,원피스 트레저 크루즈,롤플레잉,후궁의 법칙,롤플레잉,이사만루3,스포츠
55,꿈의 정원 (Gardenscapes),캐주얼 게임,Minecraft,아케이드,뇌명천하,롤플레잉,후궁의 법칙,롤플레잉,제5인격,어드벤처,글램 - 모든 매력적인 만남,데이트
56,Tinder 새로운 친구를 발견해봐,라이프스타일,컴투스프로야구2020,스포츠,로드 모바일: 제국의 전쟁 - MMORPG,전략,BTS WORLD,캐주얼 게임,삼국지 오리진,전략,킹 오브 파이터 올스타,액션
57,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,스카이피아,롤플레잉,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,별이되어라!,롤플레잉,SERIES ON - 네이버 시리즈 ON,동영상 플레이어/편집기,건쉽배틀 토탈워페어,전략
58,헌드레드 소울,액션,냥코 대전쟁,캐주얼 게임,서머너즈 워: 천공의 아레나,롤플레잉,궁수의 전설,액션,리니지2M(12),롤플레잉,YouTube Music,음악/오디오
59,서머너즈 워: 천공의 아레나,롤플레잉,Age of Z,전략,Tinder 새로운 친구를 발견해봐,라이프스타일,킹오파 익스트림 매치,롤플레잉,명일방주,전략,스타플레이 :  StarPlay,기타
60,리니지M(12),롤플레잉,이사만루3,스포츠,SERIES ON - 네이버 시리즈 ON,동영상 플레이어/편집기,"아자르 Azar -라이브로 친구찾기, 영상메신저",커뮤니케이션,리슨 Lysn,소셜,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜
61,엠파이어 & 퍼즐 (Empires & Puzzles),롤플레잉,SERIES ON - 네이버 시리즈 ON,동영상 플레이어/편집기,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜,MARVEL 퓨처파이트,롤플레잉,R5,롤플레잉,전략적 팀 전투: 리그 오브 레전드 전략 게임,전략
62,정오의 데이트,소셜,펜타스톰,액션,샤이닝라이트,롤플레잉,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",카지노,MARVEL 퓨처파이트,롤플레잉,검은사막 모바일,롤플레잉
63,하스스톤,카드,달빛조각사,롤플레잉,세븐나이츠,롤플레잉,Marvel 올스타 배틀,액션,글램 - 모든 매력적인 만남,데이트,클론다이크 어드벤처,시뮬레이션
64,글램 - 모든 매력적인 만남,데이트,클론다이크 어드벤처,시뮬레이션,정오의 데이트,소셜,좀비고등학교,아케이드,클론다이크 어드벤처,시뮬레이션,클래시 오브 클랜,전략
65,삼국지:디펜스의 신,전략,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,달빛조각사,롤플레잉,프로야구 H2,스포츠,Tinder 새로운 친구를 발견해봐,라이프스타일,SERIES ON - 네이버 시리즈 ON,동영상 플레이어/편집기
66,로드 모바일: 제국의 전쟁 - MMORPG,전략,글램 - 모든 매력적인 만남,데이트,프린세스 커넥트! Re:Dive,롤플레잉,글램 - 모든 매력적인 만남,데이트,모바일 레전드: Bang Bang,액션,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트
67,라스트 쉘터 (Last Shelter: Survival),전략,Tinder 새로운 친구를 발견해봐,라이프스타일,삼국지:디펜스의 신,전략,라스트 쉘터 (Last Shelter: Survival),전략,궁수의 전설,액션,마피아 시티,전략
68,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,모바일 레전드: Bang Bang,액션,로한M(18),기타,R5,롤플레잉,킹 오브 파이터 올스타,액션,붕괴3rd,액션
69,ANOTHER EDEN 시공을 넘는 고양이,롤플레잉,원피스 트레저 크루즈,롤플레잉,YouTube Music,음악/오디오,러브비트 : 애니타임,음악,V LIVE,엔터테인먼트,Tinder 새로운 친구를 발견해봐,라이프스타일
70,YouTube Music,음악/오디오,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,모바일 레전드: Bang Bang,액션,케페우스M,롤플레잉,YouTube Music,음악/오디오,BTS WORLD,캐주얼 게임
71,리치리치,시뮬레이션,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,닌자대전,롤플레잉,모바일 레전드: Bang Bang,액션,이사만루3,스포츠,Fallout Shelter Online,어드벤처
72,SERIES ON - 네이버 시리즈 ON,동영상 플레이어/편집기,프렌즈타운,퍼즐,MLB 퍼펙트 이닝 2019,스포츠,YouTube Music,음악/오디오,리치리치,시뮬레이션,리슨 Lysn,소셜
73,한게임 섯다,카드,정오의 데이트,소셜,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,에픽세븐,롤플레잉,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",카지노,심쿵 소개팅 - 동네 이성친구 사귀기,소셜
74,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",카지노,리니지M(12),롤플레잉,Yu-Gi-Oh! Duel Links,카드,전략적 팀 전투: 리그 오브 레전드 전략 게임,전략,피카 - 가상 시뮬레이션 메신저,시뮬레이션,달빛조각사,롤플레잉
75,"스픽 (Speak): 영어회화, 스피킹, 발음",교육,아이모 (The World of Magic),롤플레잉,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,뇌명천하,롤플레잉,라지엘,롤플레잉,모두의마블,보드
76,레이드: 그림자의 전설,롤플레잉,에픽세븐,롤플레잉,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",카지노,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,엠파이어 & 퍼즐 (Empires & Puzzles),롤플레잉,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료
77,한게임 포커,카지노,킹 오브 파이터 올스타,액션,킹 오브 파이터 올스타,액션,리니지M(12),롤플레잉,정오의 데이트,소셜,Pokémon GO,어드벤처
78,제5인격,어드벤처,각성: 열렙전사 with NAVER WEBTOON,롤플레잉,리치리치,시뮬레이션,SERIES ON - 네이버 시리즈 ON,동영상 플레이어/편집기,로드 모바일: 제국의 전쟁 - MMORPG,전략,PhotoWonder-뷰티 카메라,사진
79,데스티니 차일드,롤플레잉,한게임 포커,카지노,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기,Tinder 새로운 친구를 발견해봐,라이프스타일,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,리치리치,시뮬레이션
80,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜,YouTube Music,음악/오디오,"캠톡S - 화상채팅,영상채팅",커뮤니케이션,로드 모바일: 제국의 전쟁 - MMORPG,전략,랑그릿사,전략,놀러와 마이홈,시뮬레이션
81,Minecraft,아케이드,로드 모바일: 제국의 전쟁 - MMORPG,전략,용의기원,롤플레잉,PhotoWonder-뷰티 카메라,사진,커넥팅 - 심심할 때 통화할 편한 친구,소셜,후궁의 법칙,롤플레잉
82,드래곤 스카이 - 슈팅 방치형 RPG,롤플레잉,아이러브니키,시뮬레이션,리니지M(12),롤플레잉,SuperStar WOOLLIM,음악,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,아마시아 - 나와 가까운 인연부터 외국인까지👩\u200d❤️\u200d💋\u200d👨,커뮤니케이션
83,모바일 레전드: Bang Bang,액션,트라하,롤플레잉,꽃피는 달빛,시뮬레이션,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,영원한 7일의 도시,롤플레잉,에픽세븐,롤플레잉
84,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",카지노,라이프애프터,어드벤처,한게임 포커,카지노,마피아 시티,전략,라스트 쉘터 (Last Shelter: Survival),전략
85,프렌즈타운,퍼즐,위 베어 베어스 더 퍼즐,퍼즐,명일방주,전략,MLB 9이닝스 20,스포츠,리니지M(12),롤플레잉,뱅드림! 걸즈 밴드 파티!,음악
86,오늘도 우라라 원시 헌팅 라이프,롤플레잉,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜,Guns of Glory: 왕을 위한 장대한 군대 구축,전략,리치리치,시뮬레이션,꿈의 마을 (Township),캐주얼 게임,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",엔터테인먼트
87,프로야구 H2,스포츠,BTS WORLD,캐주얼 게임,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트,마피아42,전략,eFootball PES 2020,스포츠,정오의 데이트,소셜
88,방치함대,전략,꿈의 마을 (Township),캐주얼 게임,위 베어 베어스 더 퍼즐,퍼즐,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜,달빛조각사,롤플레잉,엠파이어 & 퍼즐 (Empires & Puzzles),롤플레잉
89,에픽세븐,롤플레잉,꽃피는 달빛,시뮬레이션,Toon Blast,퍼즐,브라운더스트 - 9vs9 턴제 PvP,롤플레잉,Toon Blast,퍼즐,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",카지노
90,클론다이크 어드벤처,시뮬레이션,오늘도 우라라 원시 헌팅 라이프,롤플레잉,Minecraft,아케이드,클래시 오브 클랜,전략,꽃피는 달빛,시뮬레이션,모바일 레전드: Bang Bang,액션
91,트라하,롤플레잉,페이트/그랜드 오더,롤플레잉,엑소스 히어로즈,롤플레잉,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트,"스픽 (Speak): 영어회화, 스피킹, 발음",교육,뇌명천하,롤플레잉
92,컴투스프로야구2020,스포츠,Pokémon GO,어드벤처,컴투스프로야구매니저,스포츠,컴투스프로야구2020,스포츠,세븐나이츠,롤플레잉,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,소셜
93,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트,Toon Blast,퍼즐,캔디크러쉬사가,캐주얼 게임,헌드레드 소울,액션,"캠톡S - 화상채팅,영상채팅",커뮤니케이션,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜
94,Toon Blast,퍼즐,데스티니 차일드,롤플레잉,쿠킹 다이어리: 카페 레스토랑 경영 게임,시뮬레이션,영주 : 백의 연대기,롤플레잉,냥코 대전쟁,캐주얼 게임,Toon Blast,퍼즐
95,위 베어 베어스 더 퍼즐,퍼즐,피망 뉴맞고 : 고스톱으로 대한민국 1등,카드,커넥팅 - 심심할 때 통화할 편한 친구,소셜,샤이닝라이트,롤플레잉,레진코믹스 - 매일 무료 웹툰,만화,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청",엔터테인먼트
96,FIFA 축구,스포츠,뮤오리진2,롤플레잉,이사만루3,스포츠,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,소셜,로엠,롤플레잉,마피아42,전략
97,마피아 시티,전략,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기,한게임 포커,카지노,정오의 데이트,소셜,프린세스 커넥트! Re:Dive,롤플레잉,커넥팅 - 심심할 때 통화할 편한 친구,소셜
98,좀비고등학교,아케이드,닌자대전,롤플레잉,레이드: 그림자의 전설,롤플레잉,프렌즈타운,퍼즐,Yu-Gi-Oh! Duel Links,카드,로드 모바일: 제국의 전쟁 - MMORPG,전략
99,DX : 신 세기의 전쟁,롤플레잉,"캠톡S - 화상채팅,영상채팅",커뮤니케이션,러브라이브! ALL STARS,기타,꽃피는 달빛,시뮬레이션,에보니 - 왕의 귀환,전략,랑그릿사,전략
