,20_1,20_1_gen,20_2,20_2_gen,20_3,20_3_gen,20_4,20_4_gen,20_5,20_5_gen,20_6,20_6_gen
11,한컴오피스 한글,비즈니스,Puffin Browser Pro,커뮤니케이션,Puffin Browser Pro,커뮤니케이션,무음모드 PRO (기본 카메라 무음),사진,Torque Pro (OBD2 / 자동차),커뮤니케이션,무음무음 PRO,사진
12,무음무음 PRO,사진,무음모드 (순정 무음카메라),도구,이지 보이스 레코더 프로,생산성,LectureNotes,생산성,LectureNotes,생산성,WolframAlpha,도서/참고자료
13,Aa문라이즈™ 한국어 Flipfont,맞춤 설정,Word master 워드마스터 수능 2000(18개정),교육,Word master 워드마스터 수능 2000(18개정),교육,Panda Gamepad Pro (BETA),도구,Tasker,도구,Panda Gamepad Pro (BETA),도구
14,Torque Pro (OBD2 / 자동차),커뮤니케이션,토익 PART5 종결자,교육,DroidCamX Wireless Webcam Pro,도구,DroidCamX Wireless Webcam Pro,도구,USB Audio Player PRO,음악/오디오,"지피지기 (사주,운세,궁합,토정비결,이름,해몽)",라이프스타일
15,Puffin Browser Pro,커뮤니케이션,"Twomon SE (투몬 SE) - 휴대용 디스플레이, USB 모니터",생산성,SOVS 소브스 - 구도 카메라,사진,Tasker,도구,Aa문라이즈™ 한국어 Flipfont,맞춤 설정,Word master 워드마스터 수능 2000(18개정),교육
16,토익 PART5 종결자,교육,Torque Pro (OBD2 / 자동차),커뮤니케이션,Tasker,도구,Puffin Browser Pro,커뮤니케이션,Puffin Browser Pro,커뮤니케이션,Tasker,도구
17,무음모드 (순정 무음카메라),도구,Aa문라이즈™ 한국어 Flipfont,맞춤 설정,Aa문라이즈™ 한국어 Flipfont,맞춤 설정,Aa문라이즈™ 한국어 Flipfont,맞춤 설정,Word master 워드마스터 수능 2000(18개정),교육,Aa문라이즈™ 한국어 Flipfont,맞춤 설정
18,Toca Hair Salon 3,교육,USB Audio Player PRO,음악/오디오,구닥,사진,Stellarium Mobile 하늘지도,교육,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",만화,무음모드 (순정 무음카메라),도구
19,"편한가계부 (+음성, PC)",금융,"무음모드Pro - 무음 카메라, 도서관 카메라, 조용히, 침묵, 무음 셔터",사진,USB Audio Player PRO,음악/오디오,"책꽂이+ (독서기록, 도서관리)",도서/참고자료,Panda Gamepad Pro (BETA),도구,Hi-Fi Status(LG),음악/오디오
20,AirBuds Popup - airpod battery app,음악/오디오,Flashcards Deluxe,교육,WolframAlpha,도서/참고자료,무음무음 PRO,사진,Hi-Fi Status(LG),음악/오디오,구닥,사진
21,SOVS 소브스 - 구도 카메라,사진,Poweramp Full Version Unlocker,음악/오디오,@yoojinkim camera,사진,AlpineQuest Off-Road Explorer,여행 및 지역정보,WolframAlpha,도서/참고자료,LectureNotes,생산성
22,Panda Gamepad Pro (BETA),도구,Panda Gamepad Pro (BETA),도구,토익 PART5 종결자,교육,TouchRetouch,사진,Aa어거스트™ 한국어 Flipfont,맞춤 설정,Magic DosBox,도구
23,구닥,사진,"책꽂이+ (독서기록, 도서관리)",도서/참고자료,Toca Hair Salon 3,교육,USB Audio Player PRO,음악/오디오,"편한가계부 (+음성, PC)",금융,"편한가계부 (+음성, PC)",금융
24,USB Audio Player PRO,음악/오디오,"편한가계부 (+음성, PC)",금융,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",만화,Magic DosBox,도구,Poweramp Full Version Unlocker,음악/오디오,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",만화
25,Sleep as Android Unlock 💤수면 주기를 기록하는 스마트 알람 시계입니다,라이프스타일,Nova Launcher Prime,맞춤 설정,"편한가계부 (+음성, PC)",금융,Poweramp Full Version Unlocker,음악/오디오,iReal Pro – 음악책 & 반주,음악/오디오,Flashcards Deluxe,교육
26,Aa십육살™ 한국어 Flipfont,맞춤 설정,Magic DosBox,도구,Torque Pro (OBD2 / 자동차),커뮤니케이션,"무음모드Pro - 무음 카메라, 도서관 카메라, 조용히, 침묵, 무음 셔터",사진,"책꽂이+ (독서기록, 도서관리)",도서/참고자료,Word Master 워드마스터 중등 실력,교육
27,"무음모드Pro - 무음 카메라, 도서관 카메라, 조용히, 침묵, 무음 셔터",사진,AirBuds Popup - airpod battery app,음악/오디오,Poweramp Full Version Unlocker,음악/오디오,"편한가계부 (+음성, PC)",금융,FL Studio Mobile,음악/오디오,Poweramp Full Version Unlocker,음악/오디오
28,한국사능력검정시험 고급 해설집,교육,Hi-Fi Status(LG),음악/오디오,Flashcards Deluxe,교육,Aa어거스트™ 한국어 Flipfont,맞춤 설정,Ba소복소복™ 한국어 Flipfont,맞춤 설정,Game Booster 4x Faster Pro - GFX Tool & Lag Fix,도구
29,"Twomon SE (투몬 SE) - 휴대용 디스플레이, USB 모니터",생산성,우리말 공부,교육,"무음모드Pro - 무음 카메라, 도서관 카메라, 조용히, 침묵, 무음 셔터",사진,카라반 블루투스(BLE) 수평계,자동차,Magic DosBox,도구,DroidCamX Wireless Webcam Pro,도구
30,Magic DosBox,도구,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,Aa어거스트™ 한국어 Flipfont,맞춤 설정,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",만화,구닥,사진,무음모드 PRO (기본 카메라 무음),사진
31,Nova Launcher Prime,맞춤 설정,@yoojinkim camera,사진,데이그램 - 하루 한줄 일기장,라이프스타일,구닥,사진,심플 갤러리 Pro,사진,Velo VPN Pro,도구
32,우리말 공부,교육,Watch Face -WatchMaker Premium for Android Wear OS,맞춤 설정,"책꽂이+ (독서기록, 도서관리)",도서/참고자료,터치매크로-자동터치,도구,Game Booster 4x Faster Pro - GFX Tool & Lag Fix,도구,@yoojinkim camera,사진
33,Hi-Fi Status(LG),음악/오디오,구닥,사진,심플 갤러리 Pro,사진,@yoojinkim camera,사진,Sleep as Android Unlock 💤수면 주기를 기록하는 스마트 알람 시계입니다,라이프스타일,TouchRetouch,사진
34,Tasker,도구,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",만화,Nova Launcher Prime,맞춤 설정,Hi-Fi Status(LG),음악/오디오,무음모드 (순정 무음카메라),도구,Aa정답쓰기™ 한국어 Flipfont,맞춤 설정
35,AlpineQuest Off-Road Explorer,여행 및 지역정보,Tasker,도구,TouchRetouch,사진,Flashcards Deluxe,교육,Aa십육살™ 한국어 Flipfont,맞춤 설정,FL Studio Mobile,음악/오디오
36,한글 달인 - 맞춤법 공부,교육,클라우드 알람,소셜,무음모드 (순정 무음카메라),도구,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,이비스 페인트 (ibis Paint),예술/디자인,한국사 능력,Education
37,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",만화,TouchRetouch,사진,Aa십육살™ 한국어 Flipfont,맞춤 설정,스텔라리움 모바일 플러스 - 천체 지도,교육,AlpineQuest Off-Road Explorer,여행 및 지역정보,Ba소복소복™ 한국어 Flipfont,맞춤 설정
38,터치매크로-자동터치,도구,무음모드 PRO (기본 카메라 무음),사진,Plague Inc. (전염병 주식회사): 시나리오 제작기,생산성,Watch Face -WatchMaker Premium for Android Wear OS,맞춤 설정,무음모드 PRO (기본 카메라 무음),사진,µTorrent® Pro - Torrent App,동영상 플레이어/편집기
39,Aa너구리굴림™ 한국어 Flipfont,맞춤 설정,Root Explorer,생산성,Hi-Fi Status(LG),음악/오디오,OruxMaps GP,여행 및 지역정보,µTorrent® Pro - Torrent App,동영상 플레이어/편집기,Rix하르방하르방™ 한국어 Flipfont,맞춤 설정
40,Poweramp Full Version Unlocker,음악/오디오,심플 갤러리 Pro,사진,버추얼태블릿 VirtualTablet (S-Pen),도구,버추얼태블릿 VirtualTablet (S-Pen),도구,Word Master 워드마스터 중등 실력,교육,"비밀녹음 프로 (Secret Recorder Pro) - 녹음기, 강의녹음, 몰래녹음",도구
41,카라반 블루투스(BLE) 수평계,자동차,DiskDigger Pro file recovery,도구,KWGT Kustom Widget Pro Key,도구,FL Studio Mobile,음악/오디오,우리말 공부,교육,Aa어거스트™ 한국어 Flipfont,맞춤 설정
42,Aa폰트의왕™ 한국어 Flipfont,맞춤 설정,Toca Hair Salon 3,교육,제트오디오 플러스 - 고해상도 음원 재생 뮤직 플레이어,음악/오디오,심플 갤러리 Pro,사진,"지피지기 (사주,운세,궁합,토정비결,이름,해몽)",라이프스타일,"백학도사의로또꿈해몽백과(로또,로또꿈,이름풀이로또운명수,로또꿈분석,꿈풀이,꿈해몽,조합기)",도서/참고자료
43,FL Studio Mobile,음악/오디오,Aa어거스트™ 한국어 Flipfont,맞춤 설정,Stellarium Mobile 하늘지도,교육,Word Master 워드마스터 중등 기초,교육,Flashcards Deluxe,교육,Nova Launcher Prime,맞춤 설정
44,µTorrent® Pro - Torrent App,동영상 플레이어/편집기,µTorrent® Pro - Torrent App,동영상 플레이어/편집기,AirBuds Popup - airpod battery app,음악/오디오,고상혁 스위치 사주기2,이벤트,Stellarium Mobile 하늘지도,교육,AirBuds Popup - airpod battery app,음악/오디오
45,우와! - 화면을 깨고 동전이 나오는 마술앱!,엔터테인먼트,"비밀녹음 프로 (Secret Recorder Pro) - 녹음기, 강의녹음, 몰래녹음",도구,"Star Walk 2 - 하늘지도：별자리 찾기, 스타지도, 증강 현실 천문학",교육,Word Master 워드마스터 중등 고난도(개정),교육,HU셀럽고딕™ 한국어 Flipfont,맞춤 설정,Ba베베미뇽™ 한국어 Flipfont,맞춤 설정
46,365홀딱반했어™ 한국어 Flipfont,맞춤 설정,제트오디오 플러스 - 고해상도 음원 재생 뮤직 플레이어,음악/오디오,FL Studio Mobile,음악/오디오,"ArtRage: Draw, Paint, Create",예술/디자인,Watch Face -WatchMaker Premium for Android Wear OS,맞춤 설정,iReal Pro – 음악책 & 반주,음악/오디오
47,띄어쓰기,교육,Aa폰트의왕™ 한국어 Flipfont,맞춤 설정,한글 달인 - 맞춤법 공부,교육,"Star Walk 2 - 하늘지도：별자리 찾기, 스타지도, 증강 현실 천문학",교육,OruxMaps GP,여행 및 지역정보,전기기사 산업기사 실기 핵심 정리,교육
48,BlockLauncher Pro,도구,Metronome: Tempo 메트로놈,음악/오디오,Aa너구리굴림™ 한국어 Flipfont,맞춤 설정,CCSWE App Manager Pro License,도구,터치매크로-자동터치,도구,Word Master 워드마스터 중등 기초,교육
49,최고 어휘,교육,"PL@Y 2 - 프리미엄 티켓북 + 포토캘린더 ( 플레이앱, PL@Y2 )",라이프스타일,Magic DosBox,도구,Game Booster 4x Faster Pro - GFX Tool & Lag Fix,도구,TouchRetouch,사진,영화보며 영어공부 - 배속재생 미플레이어무비프로 어학용 동영상 플레이어,교육
