,19_7,19_7_gen,19_8,19_8_gen,19_9,19_9_gen,19_10,19_10_gen,19_11,19_11_gen,19_12,19_12_gen
10,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,글램 - 모든 매력적인 만남,데이트,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,글램 - 모든 매력적인 만남,데이트,글램 - 모든 매력적인 만남,데이트,글램 - 모든 매력적인 만남,데이트
11,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,글램 - 모든 매력적인 만남,데이트,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트
12,Tinder 새로운 친구를 발견해봐,라이프스타일,라인 플레이 – 전세계 No.1 패션 게임,소셜,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,라인 플레이 – 전세계 No.1 패션 게임,소셜
13,글램 - 모든 매력적인 만남,데이트,Tinder 새로운 친구를 발견해봐,라이프스타일,Tinder 새로운 친구를 발견해봐,라이프스타일,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,라인 플레이 – 전세계 No.1 패션 게임,소셜,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜
14,라인 플레이 – 전세계 No.1 패션 게임,소셜,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,Tinder 새로운 친구를 발견해봐,라이프스타일,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료
15,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,"스와이프 - 세상의 모든 만남, 소개팅앱 1위!",라이프스타일,라인 플레이 – 전세계 No.1 패션 게임,소셜,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜,Tinder 새로운 친구를 발견해봐,라이프스타일,Tinder 새로운 친구를 발견해봐,라이프스타일
16,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜,"너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)",소셜,"스와이프 - 세상의 모든 만남, 소개팅앱 1위!",라이프스타일,"LIVE스코어 - KBO, EPL, NBA 등 가장 빠른 스포츠 전종목 라이브스코어",스포츠,"LIVE스코어 - KBO, EPL, NBA 등 가장 빠른 스포츠 전종목 라이브스코어",스포츠,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜
17,"스와이프 - 세상의 모든 만남, 소개팅앱 1위!",라이프스타일,하쿠나 라이브 -  Live 방송,엔터테인먼트,"너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)",소셜,라인 플레이 – 전세계 No.1 패션 게임,소셜,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",엔터테인먼트,VivaVideo - 동영상 편집 어플 & 무비메이커,동영상 플레이어/편집기
18,"손금 보기 - 아기, 노화 및 팜 스캔",엔터테인먼트,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜,"여보야 - 결혼,재혼을 위한 중매쟁이 앱",소셜,"너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)",소셜,VivaVideo - 동영상 편집 어플 & 무비메이커,동영상 플레이어/편집기,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",엔터테인먼트
19,Netflix(넷플릭스),엔터테인먼트,"여보야 - 결혼,재혼을 위한 중매쟁이 앱",소셜,IZ*ONE Private Mail,엔터테인먼트,"여보야 - 결혼,재혼을 위한 중매쟁이 앱",소셜,"여보야 - 결혼,재혼을 위한 중매쟁이 앱",소셜,"여보야 - 결혼,재혼을 위한 중매쟁이 앱",소셜
20,"너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)",소셜,IZ*ONE Private Mail,엔터테인먼트,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜,VivaVideo - 동영상 편집 어플 & 무비메이커,동영상 플레이어/편집기,"Kmate 케이메이트 - 한국을 사랑하는 외국인친구 사귀기, 미팅, 외국어 채팅, 언어교환",데이트,"LIVE스코어 - KBO, EPL, NBA 등 가장 빠른 스포츠 전종목 라이브스코어",스포츠
21,"여보야 - 결혼,재혼을 위한 중매쟁이 앱",소셜,(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅,커뮤니케이션,"LIVE스코어 - KBO, EPL, NBA 등 가장 빠른 스포츠 전종목 라이브스코어",스포츠,"스와이프 - 세상의 모든 만남, 소개팅앱 1위!",라이프스타일,"너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)",소셜,"너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)",소셜
22,하쿠나 라이브 -  Live 방송,엔터테인먼트,소모임 - No.1 취미모임 앱,소셜,V LIVE,엔터테인먼트,IZ*ONE Private Mail,엔터테인먼트,스코어센터 LIVE - 전 세계 스포츠 통합 라이브스코어,스포츠,탄탄 - 남사친이 필요할 때,소셜
23,"HiddenMe -  노화 카메라, 페이스앱",엔터테인먼트,"LIVE스코어 - KBO, EPL, NBA 등 가장 빠른 스포츠 전종목 라이브스코어",스포츠,위버스 - Weverse,소셜,스코어센터 LIVE - 전 세계 스포츠 통합 라이브스코어,스포츠,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,소셜,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,소셜
24,IZ*ONE Private Mail,엔터테인먼트,VivaVideo - 동영상 편집 어플 & 무비메이커,동영상 플레이어/편집기,VivaVideo - 동영상 편집 어플 & 무비메이커,동영상 플레이어/편집기,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜,Netflix(넷플릭스),엔터테인먼트,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜
25,V LIVE,엔터테인먼트,스코어센터 LIVE - 전 세계 스포츠 통합 라이브스코어,스포츠,Netflix(넷플릭스),엔터테인먼트,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",엔터테인먼트,소모임 - No.1 취미모임 앱,소셜,"Kmate 케이메이트 - 한국을 사랑하는 외국인친구 사귀기, 미팅, 외국어 채팅, 언어교환",데이트
26,"LIVE스코어 - KBO, EPL, NBA 등 가장 빠른 스포츠 전종목 라이브스코어",스포츠,키네마스터(KineMaster) - 동영상 편집기,동영상 플레이어/편집기,소모임 - No.1 취미모임 앱,소셜,Netflix(넷플릭스),엔터테인먼트,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜,소모임 - No.1 취미모임 앱,소셜
27,소모임 - No.1 취미모임 앱,소셜,V LIVE,엔터테인먼트,"썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)",데이트,소모임 - No.1 취미모임 앱,소셜,"스와이프 - 세상의 모든 만남, 소개팅앱 1위!",라이프스타일,비트윈 Between,소셜
28,(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅,커뮤니케이션,카카오키즈,교육,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,소셜,"Kmate 케이메이트 - 한국을 사랑하는 외국인친구 사귀기, 미팅, 외국어 채팅, 언어교환",데이트,탄탄 - 남사친이 필요할 때,소셜,ZEPETO,엔터테인먼트
29,"썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)",데이트,Iron Play -- for AFK,도구,(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅,커뮤니케이션,(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅,커뮤니케이션,키네마스터(KineMaster) - 동영상 편집기,동영상 플레이어/편집기,키네마스터(KineMaster) - 동영상 편집기,동영상 플레이어/편집기
30,"AI 토익 튜터, 산타",교육,"아르고 ARGO - 영상메신저, 영상채팅, 친구찾기",소셜,키네마스터(KineMaster) - 동영상 편집기,동영상 플레이어/편집기,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,소셜,이브캠S - 화상채팅 영상채팅 음성채팅,라이프스타일,스코어센터 LIVE - 전 세계 스포츠 통합 라이브스코어,스포츠
31,VivaVideo - 동영상 편집 어플 & 무비메이커,동영상 플레이어/편집기,"썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)",데이트,스코어센터 LIVE - 전 세계 스포츠 통합 라이브스코어,스포츠,키네마스터(KineMaster) - 동영상 편집기,동영상 플레이어/편집기,(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅,커뮤니케이션,카카오키즈,교육
32,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",엔터테인먼트,"은하수다방 - 돌싱, 재혼을 위한 프리미엄 소개팅",소셜,이브캠S - 화상채팅 영상채팅 음성채팅,라이프스타일,카카오키즈,교육,카카오키즈,교육,"아이쉐어링 위치추적 - 가족 자녀안심, 친구찾기, GPS 안심이",커뮤니케이션
33,키네마스터(KineMaster) - 동영상 편집기,동영상 플레이어/편집기,"HiddenMe -  노화 카메라, 페이스앱",엔터테인먼트,"Face Secret App - 관상 해석, 뷰티 스캔, 별자리 운세",엔터테인먼트,미래생김새---안면노화、아기생성기、안면스캔,엔터테인먼트,위버스 - Weverse,소셜,윌라 - 베스트셀러 오디오북&프리미엄 강의,교육
34,카카오키즈,교육,"다톡 - 무료 채팅으로 동네 친구, 톡친구 사귀기",소셜,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",엔터테인먼트,"아르고 ARGO - 영상메신저, 영상채팅, 친구찾기",소셜,"아이쉐어링 위치추적 - 가족 자녀안심, 친구찾기, GPS 안심이",커뮤니케이션,"스와이프 - 세상의 모든 만남, 소개팅앱 1위!",라이프스타일
35,"아르고 ARGO - 영상메신저, 영상채팅, 친구찾기",소셜,Smule - 최고의 노래 어플,음악/오디오,카카오키즈,교육,이브캠S - 화상채팅 영상채팅 음성채팅,라이프스타일,"만남,돌싱,중년,채팅어플,아줌마중매,무료채팅,소개팅,재혼만남,만남어플 - 불팅",데이트,캐치잇 잉글리시 : 게임보다 쉬운 영어 학습,교육
36,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,소셜,밴드,소셜,QR Code Reader-바코드 스캐너 및 QR 코드 스캐너,도구,년세가 든후의 생김새---안면노화 응용프로그램、안면스캔기,엔터테인먼트,"아르고 ARGO - 영상메신저, 영상채팅, 친구찾기",소셜,"다톡 - 무료 채팅으로 동네 친구, 톡친구 사귀기",소셜
37,Smule - 최고의 노래 어플,음악/오디오,프렌미,데이트,"아이쉐어링 위치추적 - 가족 자녀안심, 친구찾기, GPS 안심이",커뮤니케이션,"썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)",데이트,V LIVE,엔터테인먼트,"아르고 ARGO - 영상메신저, 영상채팅, 친구찾기",소셜
38,캐치잇 잉글리시 : 게임보다 쉬운 영어 학습,교육,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",엔터테인먼트,Smule - 최고의 노래 어플,음악/오디오,"아이쉐어링 위치추적 - 가족 자녀안심, 친구찾기, GPS 안심이",커뮤니케이션,"다톡 - 무료 채팅으로 동네 친구, 톡친구 사귀기",소셜,"썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)",데이트
39,페이스리딩—에이지 페이스 사인,엔터테인먼트,"아이쉐어링 위치추적 - 가족 자녀안심, 친구찾기, GPS 안심이",커뮤니케이션,"다톡 - 무료 채팅으로 동네 친구, 톡친구 사귀기",소셜,Smule - 최고의 노래 어플,음악/오디오,"썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)",데이트,최애돌♡ - 아이돌 순위 / 스케줄 / 퀴즈,엔터테인먼트
40,프렌미,데이트,캐치잇 잉글리시 : 게임보다 쉬운 영어 학습,교육,"은하수다방 - 돌싱, 재혼을 위한 프리미엄 소개팅",소셜,"다톡 - 무료 채팅으로 동네 친구, 톡친구 사귀기",소셜,IZ*ONE Private Mail,엔터테인먼트,(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅,커뮤니케이션
41,인공지능 소개팅 애나 - 목소리도 듣고 분석도 하고,소셜,"만남,돌싱,중년,채팅어플,아줌마중매,무료채팅,소개팅,재혼만남,만남어플 - 불팅",데이트,"아르고 ARGO - 영상메신저, 영상채팅, 친구찾기",소셜,"만남,돌싱,중년,채팅어플,아줌마중매,무료채팅,소개팅,재혼만남,만남어플 - 불팅",데이트,Fachat: 낯선 사람과의 온라인 영상 채팅 앱,소셜,"만남,돌싱,중년,채팅어플,아줌마중매,무료채팅,소개팅,재혼만남,만남어플 - 불팅",데이트
42,"떡팅 ¦ 채팅어플,만남,랜덤채팅,친구,애인,소개팅,무료채팅 인기어플",데이트,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,소셜,밴드,소셜,"은하수다방 - 돌싱, 재혼을 위한 프리미엄 소개팅",소셜,"은하수다방 - 돌싱, 재혼을 위한 프리미엄 소개팅",소셜,Smule - 최고의 노래 어플,음악/오디오
43,밴드,소셜,인공지능 소개팅 애나 - 목소리도 듣고 분석도 하고,소셜,"만남,돌싱,중년,채팅어플,아줌마중매,무료채팅,소개팅,재혼만남,만남어플 - 불팅",데이트,LivU - 랜덤 영상 채팅,소셜,LivU - 랜덤 영상 채팅,소셜,LivU - 랜덤 영상 채팅,소셜
44,"Future: FaceApp, 고령화와 손금",엔터테인먼트,Tumile라이브 캣 - 새로운 사람들 만나기 & 무료 라이브 채팅,라이프스타일,"소개팅 1등, 커플메이커 (연애,데이팅,만남,미팅 앱)",소셜,NordVPN: 안전한 인터넷과 온라인 보안을 즐길 수 있는 안드로이드용 VPN 앱,도구,윌라 - 베스트셀러 오디오북&프리미엄 강의,교육,"은하수다방 - 돌싱, 재혼을 위한 프리미엄 소개팅",소셜
45,"아이쉐어링 위치추적 - 가족 자녀안심, 친구찾기, GPS 안심이",커뮤니케이션,즐챗 - 채팅을 통한 즐거운 이성친구와 대화,소셜,프렌미,데이트,"Evernote – 수첩, 노트와 메모를 위한 플래너",생산성,Smule - 최고의 노래 어플,음악/오디오,"빠른톡S - 더 강력해진 실시간 영상통화, 목소리듣고 빠르게 인연 찾는 어플",소셜
46,써니캠 - 영상채팅,데이트,써니캠 - 영상채팅,데이트,즐챗 - 채팅을 통한 즐거운 이성친구와 대화,소셜,NBA: 생중계 경기 & 점수,스포츠,"Evernote – 수첩, 노트와 메모를 위한 플래너",생산성,"스픽 (Speak): 영어회화, 스피킹, 발음",교육
47,즐챗 - 채팅을 통한 즐거운 이성친구와 대화,소셜,LivU - 랜덤 영상 채팅,소셜,"빠른톡S - 더 강력해진 실시간 영상통화, 목소리듣고 빠르게 인연 찾는 어플",소셜,Microsoft OneDrive,생산성,"빠른톡S - 더 강력해진 실시간 영상통화, 목소리듣고 빠르게 인연 찾는 어플",소셜,밴드,소셜
48,"다톡 - 무료 채팅으로 동네 친구, 톡친구 사귀기",소셜,"Magikoly–만화 필터, 페이스앱, 페이스 에디터, 얼굴 노화, 성별 전환, 인종 분석",사진,LivU - 랜덤 영상 채팅,소셜,캐치잇 잉글리시 : 게임보다 쉬운 영어 학습,교육,Microsoft OneDrive,생산성,Microsoft OneDrive,생산성
49,"Magikoly–만화 필터, 페이스앱, 페이스 에디터, 얼굴 노화, 성별 전환, 인종 분석",사진,Blued - 게이 데이팅 & 라이브 앱,소셜,"Kmate 케이메이트 - 한국을 사랑하는 외국인친구 사귀기, 미팅, 외국어 채팅, 언어교환",데이트,밴드,소셜,캐치잇 잉글리시 : 게임보다 쉬운 영어 학습,교육,Blued - 게이 데이팅 & 라이브 앱,소셜
