,20_1,20_1_gen,20_2,20_2_gen,20_3,20_3_gen,20_4,20_4_gen,20_5,20_5_gen,20_6,20_6_gen
12,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜,"LIVE스코어 - KBO, EPL, NBA 등 가장 빠른 스포츠 전종목 라이브스코어",스포츠,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,랭킹스타,엔터테인먼트,탄탄 - 남사친이 필요할 때,소셜
13,Tinder 새로운 친구를 발견해봐,라이프스타일,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,탄탄 - 남사친이 필요할 때,소셜,탄탄 - 남사친이 필요할 때,소셜,탄탄 - 남사친이 필요할 때,소셜,아마시아 - 나와 가까운 인연부터 외국인까지👩\u200d❤️\u200d💋\u200d👨,커뮤니케이션
14,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,라인 플레이 – 전세계 No.1 패션 게임,소셜,Tinder 새로운 친구를 발견해봐,라이프스타일,V LIVE,엔터테인먼트,라인 플레이 – 전세계 No.1 패션 게임,소셜,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료
15,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,탄탄 - 남사친이 필요할 때,소셜,"여보야 - 결혼,재혼을 위한 중매쟁이 앱",소셜,Tinder 새로운 친구를 발견해봐,라이프스타일,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,리슨 Lysn,소셜
16,"LIVE스코어 - KBO, EPL, NBA 등 가장 빠른 스포츠 전종목 라이브스코어",스포츠,Tinder 새로운 친구를 발견해봐,라이프스타일,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜,라인 플레이 – 전세계 No.1 패션 게임,소셜,V LIVE,엔터테인먼트,"Kmate 케이메이트 - 한국을 사랑하는 외국인친구 사귀기, 미팅, 외국어 채팅, 언어교환",데이트
17,"여보야 - 결혼,재혼을 위한 중매쟁이 앱",소셜,"여보야 - 결혼,재혼을 위한 중매쟁이 앱",소셜,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,소셜,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,소셜,Tinder 새로운 친구를 발견해봐,라이프스타일,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,소셜
18,탄탄 - 남사친이 필요할 때,소셜,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜,라인 플레이 – 전세계 No.1 패션 게임,소셜,"여보야 - 결혼,재혼을 위한 중매쟁이 앱",소셜,"여보야 - 결혼,재혼을 위한 중매쟁이 앱",소셜,Tinder 새로운 친구를 발견해봐,라이프스타일
19,ZEPETO,엔터테인먼트,"Kmate 케이메이트 - 한국을 사랑하는 외국인친구 사귀기, 미팅, 외국어 채팅, 언어교환",데이트,"Kmate 케이메이트 - 한국을 사랑하는 외국인친구 사귀기, 미팅, 외국어 채팅, 언어교환",데이트,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜,"Kmate 케이메이트 - 한국을 사랑하는 외국인친구 사귀기, 미팅, 외국어 채팅, 언어교환",데이트,라인 플레이 – 전세계 No.1 패션 게임,소셜
20,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,소셜,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,소셜,V LIVE,엔터테인먼트,"Kmate 케이메이트 - 한국을 사랑하는 외국인친구 사귀기, 미팅, 외국어 채팅, 언어교환",데이트,리슨 Lysn,소셜,"여보야 - 결혼,재혼을 위한 중매쟁이 앱",소셜
21,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",엔터테인먼트,"너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)",소셜,VivaVideo - 동영상 편집 어플 & 무비메이커,동영상 플레이어/편집기,ZEPETO,엔터테인먼트,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜,"LIVE스코어 - KBO, EPL, NBA 등 가장 빠른 스포츠 전종목 라이브스코어",스포츠
22,"너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)",소셜,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜,"너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)",소셜,VivaVideo - 동영상 편집 어플 & 무비메이커,동영상 플레이어/편집기,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,소셜,윌라 - 베스트셀러 오디오북&프리미엄 강의,교육
23,"Kmate 케이메이트 - 한국을 사랑하는 외국인친구 사귀기, 미팅, 외국어 채팅, 언어교환",데이트,ZEPETO,엔터테인먼트,윌라 - 베스트셀러 오디오북&프리미엄 강의,교육,윌라 - 베스트셀러 오디오북&프리미엄 강의,교육,"스픽 (Speak): 영어회화, 스피킹, 발음",교육,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜
24,VivaVideo - 동영상 편집 어플 & 무비메이커,동영상 플레이어/편집기,VivaVideo - 동영상 편집 어플 & 무비메이커,동영상 플레이어/편집기,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜,"너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)",소셜,윌라 - 베스트셀러 오디오북&프리미엄 강의,교육,VivaVideo - 동영상 편집 어플 & 무비메이커,동영상 플레이어/편집기
25,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",엔터테인먼트,포켓미니,소셜,키네마스터(KineMaster) - 동영상 편집기,동영상 플레이어/편집기,ZEPETO,엔터테인먼트,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",엔터테인먼트
26,소모임 - No.1 취미모임 앱,소셜,"스픽 (Speak): 영어회화, 스피킹, 발음",교육,키네마스터(KineMaster) - 동영상 편집기,동영상 플레이어/편집기,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜,커넥팅 - 심심할 때 통화할 편한 친구,소셜,"너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)",소셜
27,스코어센터 LIVE - 전 세계 스포츠 통합 라이브스코어,스포츠,스코어센터 LIVE - 전 세계 스포츠 통합 라이브스코어,스포츠,소모임 - No.1 취미모임 앱,소셜,소모임 - No.1 취미모임 앱,소셜,"너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)",소셜,데이톡(DayTalk) - 매일 100만 회원과 새로운 인연과 데이트,데이트
28,윌라 - 베스트셀러 오디오북&프리미엄 강의,교육,윌라 - 베스트셀러 오디오북&프리미엄 강의,교육,ZEPETO,엔터테인먼트,커넥팅 - 심심할 때 통화할 편한 친구,소셜,VivaVideo - 동영상 편집 어플 & 무비메이커,동영상 플레이어/편집기,ZEPETO,엔터테인먼트
29,(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅,커뮤니케이션,소모임 - No.1 취미모임 앱,소셜,"만남,돌싱,중년,채팅어플,아줌마중매,무료채팅,소개팅,재혼만남,만남어플 - 불팅",데이트,"썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)",데이트,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",엔터테인먼트,증권플러스 for Kakao - 국민 증권앱,금융
30,키네마스터(KineMaster) - 동영상 편집기,동영상 플레이어/편집기,키네마스터(KineMaster) - 동영상 편집기,동영상 플레이어/편집기,카카오키즈,교육,"아이쉐어링 위치추적 - 가족 자녀안심, 친구찾기, GPS 안심이",커뮤니케이션,"만남,돌싱,중년,채팅어플,아줌마중매,무료채팅,소개팅,재혼만남,만남어플 - 불팅",데이트,"아르고 ARGO - 영상메신저, 영상채팅, 친구찾기",소셜
31,"다톡 - 무료 채팅으로 동네 친구, 톡친구 사귀기",소셜,커넥팅 - 심심할 때 통화할 편한 친구,소셜,커넥팅 - 심심할 때 통화할 편한 친구,소셜,"빠른톡S - 더 강력해진 실시간 영상통화, 목소리듣고 빠르게 인연 찾는 어플",소셜,"아이쉐어링 위치추적 - 가족 자녀안심, 친구찾기, GPS 안심이",커뮤니케이션,"만남,돌싱,중년,채팅어플,아줌마중매,무료채팅,소개팅,재혼만남,만남어플 - 불팅",데이트
32,최애돌♡ - 아이돌 순위 / 스케줄 / 퀴즈,엔터테인먼트,"아이쉐어링 위치추적 - 가족 자녀안심, 친구찾기, GPS 안심이",커뮤니케이션,"아이쉐어링 위치추적 - 가족 자녀안심, 친구찾기, GPS 안심이",커뮤니케이션,카카오키즈,교육,"썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)",데이트,(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅,커뮤니케이션
33,"아르고 ARGO - 영상메신저, 영상채팅, 친구찾기",소셜,"빠른톡S - 더 강력해진 실시간 영상통화, 목소리듣고 빠르게 인연 찾는 어플",소셜,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",엔터테인먼트,증권플러스 for Kakao - 국민 증권앱,금융,"아르고 ARGO - 영상메신저, 영상채팅, 친구찾기",소셜,커넥팅 - 심심할 때 통화할 편한 친구,소셜
34,카카오키즈,교육,(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅,커뮤니케이션,"빠른톡S - 더 강력해진 실시간 영상통화, 목소리듣고 빠르게 인연 찾는 어플",소셜,(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅,커뮤니케이션,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜,소모임 - No.1 취미모임 앱,소셜
35,"아이쉐어링 위치추적 - 가족 자녀안심, 친구찾기, GPS 안심이",커뮤니케이션,카카오키즈,교육,"썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)",데이트,"아르고 ARGO - 영상메신저, 영상채팅, 친구찾기",소셜,소모임 - No.1 취미모임 앱,소셜,스코어센터 LIVE - 전 세계 스포츠 통합 라이브스코어,스포츠
36,"은하수다방 - 돌싱, 재혼을 위한 프리미엄 소개팅",소셜,"아르고 ARGO - 영상메신저, 영상채팅, 친구찾기",소셜,(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅,커뮤니케이션,"만남,돌싱,중년,채팅어플,아줌마중매,무료채팅,소개팅,재혼만남,만남어플 - 불팅",데이트,원앙챗(안심결제),커뮤니케이션,"아이쉐어링 위치추적 - 가족 자녀안심, 친구찾기, GPS 안심이",커뮤니케이션
37,"스픽 (Speak): 영어회화, 스피킹, 발음",교육,원앙챗(안심결제),커뮤니케이션,원앙챗(안심결제),커뮤니케이션,"스픽 (Speak): 영어회화, 스피킹, 발음",교육,카카오키즈,교육,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜
38,"만남,돌싱,중년,채팅어플,아줌마중매,무료채팅,소개팅,재혼만남,만남어플 - 불팅",데이트,"만남,돌싱,중년,채팅어플,아줌마중매,무료채팅,소개팅,재혼만남,만남어플 - 불팅",데이트,LivU - 랜덤 영상 채팅,소셜,투믹스 - 웹툰 (무료웹툰/인기만화),만화,"LIVE스코어 - KBO, EPL, NBA 등 가장 빠른 스포츠 전종목 라이브스코어",스포츠,원앙챗(안심결제),커뮤니케이션
39,"스와이프 - 세상의 모든 만남, 소개팅앱 1위!",라이프스타일,"썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)",데이트,"아르고 ARGO - 영상메신저, 영상채팅, 친구찾기",소셜,원앙챗(안심결제),커뮤니케이션,증권플러스 for Kakao - 국민 증권앱,금융,"썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)",데이트
40,"썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)",데이트,Smule - 최고의 노래 어플,음악/오디오,증권플러스 for Kakao - 국민 증권앱,금융,Smule - 최고의 노래 어플,음악/오디오,(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅,커뮤니케이션,카카오키즈,교육
41,LivU - 랜덤 영상 채팅,소셜,"Evernote – 수첩, 노트와 메모를 위한 플래너",생산성,Smule - 최고의 노래 어플,음악/오디오,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",엔터테인먼트,키네마스터(KineMaster) - 동영상 편집기,동영상 플레이어/편집기,IZ*ONE Private Mail,엔터테인먼트
42,커넥팅 - 심심할 때 통화할 편한 친구,소셜,투믹스 - 웹툰 (무료웹툰/인기만화),만화,Microsoft OneDrive,생산성,Microsoft OneDrive,생산성,LivU - 랜덤 영상 채팅,소셜,V LIVE,엔터테인먼트
43,원앙챗(안심결제),커뮤니케이션,"다톡 - 무료 채팅으로 동네 친구, 톡친구 사귀기",소셜,IZ*ONE Private Mail,엔터테인먼트,"Evernote – 수첩, 노트와 메모를 위한 플래너",생산성,Smule - 최고의 노래 어플,음악/오디오,LivU - 랜덤 영상 채팅,소셜
44,Smule - 최고의 노래 어플,음악/오디오,LivU - 랜덤 영상 채팅,소셜,"Evernote – 수첩, 노트와 메모를 위한 플래너",생산성,IZ*ONE Private Mail,엔터테인먼트,IZ*ONE Private Mail,엔터테인먼트,Smule - 최고의 노래 어플,음악/오디오
45,단짝 게임 - 친구사귀기 예쁜 아바타 만들기 즐거운 월드이벤트 함께 즐기는 우리들만의 공간,소셜,캐치잇 잉글리시 : 게임보다 쉬운 영어 학습,교육,토도 수학,교육,헬로우봇 - AI 사주・타로・상담,소셜,"즐겁게톡 - 채팅, 랜덤채팅",데이트,캐치잇 잉글리시 : 게임보다 쉬운 영어 학습,교육
46,"빠른톡S - 더 강력해진 실시간 영상통화, 목소리듣고 빠르게 인연 찾는 어플",소셜,V LIVE,엔터테인먼트,캐치잇 잉글리시 : 게임보다 쉬운 영어 학습,교육,LivU - 랜덤 영상 채팅,소셜,Microsoft OneDrive,생산성,"Evernote – 수첩, 노트와 메모를 위한 플래너",생산성
47,캐치잇 잉글리시 : 게임보다 쉬운 영어 학습,교육,"스와이프 - 세상의 모든 만남, 소개팅앱 1위!",라이프스타일,"스픽 (Speak): 영어회화, 스피킹, 발음",교육,"즐겁게톡 - 채팅, 랜덤채팅",데이트,"낯선 사람과 채팅, 동호회 - 비밀친구",커뮤니케이션,키네마스터(KineMaster) - 동영상 편집기,동영상 플레이어/편집기
48,"Evernote – 수첩, 노트와 메모를 위한 플래너",생산성,"은하수다방 - 돌싱, 재혼을 위한 프리미엄 소개팅",소셜,헬로우봇 - AI 사주・타로・상담,소셜,Bermuda - 화상채팅으로 새로운 친구 만나기,라이프스타일,"스와이프 - 세상의 모든 만남, 소개팅앱 1위!",라이프스타일,Microsoft OneDrive,생산성
49,Bermuda - 화상채팅으로 새로운 친구 만나기,라이프스타일,밴드,소셜,"은하수다방 - 돌싱, 재혼을 위한 프리미엄 소개팅",소셜,"다톡 - 무료 채팅으로 동네 친구, 톡친구 사귀기",소셜,즐챗 - 채팅을 통한 즐거운 이성친구와 대화,소셜,즐챗 - 채팅을 통한 즐거운 이성친구와 대화,소셜
