date,time,age,confirmed,deceased
2020-04-23,0,80s,484,114
2020-04-24,0,0s,138,0
2020-04-24,0,10s,585,0
2020-04-24,0,20s,2934,0
2020-04-24,0,30s,1142,2
2020-04-24,0,40s,1418,3
2020-04-24,0,50s,1953,15
2020-04-24,0,60s,1345,35
2020-04-24,0,70s,708,71
2020-04-24,0,80s,485,114
2020-04-25,0,0s,139,0
2020-04-25,0,10s,586,0
2020-04-25,0,20s,2937,0
2020-04-25,0,30s,1143,2
2020-04-25,0,40s,1420,3
2020-04-25,0,50s,1953,15
2020-04-25,0,60s,1347,35
2020-04-25,0,70s,708,71
2020-04-25,0,80s,485,114
2020-04-26,0,0s,140,0
2020-04-26,0,10s,586,0
2020-04-26,0,20s,2940,0
2020-04-26,0,30s,1147,2
2020-04-26,0,40s,1421,3
2020-04-26,0,50s,1953,15
2020-04-26,0,60s,1347,35
2020-04-26,0,70s,708,72
2020-04-26,0,80s,485,115
2020-04-27,0,0s,140,0
2020-04-27,0,10s,588,0
2020-04-27,0,20s,2943,0
2020-04-27,0,30s,1152,2
2020-04-27,0,40s,1422,3
2020-04-27,0,50s,1953,15
2020-04-27,0,60s,1347,35
2020-04-27,0,70s,708,72
2020-04-27,0,80s,485,116
2020-04-28,0,0s,140,0
2020-04-28,0,10s,590,0
2020-04-28,0,20s,2948,0
2020-04-28,0,30s,1154,2
2020-04-28,0,40s,1423,3
2020-04-28,0,50s,1955,15
2020-04-28,0,60s,1348,35
2020-04-28,0,70s,709,73
2020-04-28,0,80s,485,116
2020-04-29,0,0s,140,0
2020-04-29,0,10s,590,0
2020-04-29,0,20s,2951,0
2020-04-29,0,30s,1156,2
2020-04-29,0,40s,1426,3
2020-04-29,0,50s,1956,15
2020-04-29,0,60s,1348,35
2020-04-29,0,70s,709,73
2020-04-29,0,80s,485,118
2020-04-30,0,0s,140,0
2020-04-30,0,10s,590,0
2020-04-30,0,20s,2952,0
2020-04-30,0,30s,1158,2
2020-04-30,0,40s,1427,3
2020-04-30,0,50s,1956,15
2020-04-30,0,60s,1348,35
2020-04-30,0,70s,709,74
2020-04-30,0,80s,485,118
2020-05-01,0,0s,140,0
2020-05-01,0,10s,590,0
2020-05-01,0,20s,2957,0
2020-05-01,0,30s,1159,2
2020-05-01,0,40s,1429,3
2020-05-01,0,50s,1956,15
2020-05-01,0,60s,1348,35
2020-05-01,0,70s,709,75
2020-05-01,0,80s,486,118
2020-05-02,0,0s,140,0
2020-05-02,0,10s,590,0
2020-05-02,0,20s,2960,0
2020-05-02,0,30s,1160,2
2020-05-02,0,40s,1430,3
2020-05-02,0,50s,1956,15
2020-05-02,0,60s,1349,35
2020-05-02,0,70s,709,75
2020-05-02,0,80s,486,120
2020-05-03,0,0s,140,0
2020-05-03,0,10s,591,0
2020-05-03,0,20s,2962,0
2020-05-03,0,30s,1163,2
2020-05-03,0,40s,1432,3
2020-05-03,0,50s,1956,15
2020-05-03,0,60s,1351,35
2020-05-03,0,70s,710,75
2020-05-03,0,80s,488,120
2020-05-04,0,0s,140,0
2020-05-04,0,10s,591,0
2020-05-04,0,20s,2964,0
2020-05-04,0,30s,1164,2
2020-05-04,0,40s,1435,3
2020-05-04,0,50s,1956,15
2020-05-04,0,60s,1353,36
2020-05-04,0,70s,710,76
2020-05-04,0,80s,488,120
2020-05-05,0,0s,140,0
2020-05-05,0,10s,591,0
2020-05-05,0,20s,2964,0
2020-05-05,0,30s,1165,2
2020-05-05,0,40s,1436,3
2020-05-05,0,50s,1957,15
2020-05-05,0,60s,1353,36
2020-05-05,0,70s,710,76
2020-05-05,0,80s,488,122
2020-05-06,0,0s,140,0
2020-05-06,0,10s,591,0
2020-05-06,0,20s,2964,0
2020-05-06,0,30s,1166,2
2020-05-06,0,40s,1436,3
2020-05-06,0,50s,1957,15
2020-05-06,0,60s,1354,36
2020-05-06,0,70s,710,77
2020-05-06,0,80s,488,122
2020-05-07,0,0s,140,0
2020-05-07,0,10s,592,0
2020-05-07,0,20s,2966,0
2020-05-07,0,30s,1167,2
2020-05-07,0,40s,1436,3
2020-05-07,0,50s,1957,15
2020-05-07,0,60s,1354,37
2020-05-07,0,70s,710,77
2020-05-07,0,80s,488,122
2020-05-08,0,0s,141,0
2020-05-08,0,10s,592,0
2020-05-08,0,20s,2967,0
2020-05-08,0,30s,1174,2
2020-05-08,0,40s,1438,3
2020-05-08,0,50s,1957,15
2020-05-08,0,60s,1355,37
2020-05-08,0,70s,710,77
2020-05-08,0,80s,488,122
2020-05-09,0,0s,141,0
2020-05-09,0,10s,594,0
2020-05-09,0,20s,2979,0
2020-05-09,0,30s,1177,2
2020-05-09,0,40s,1438,3
2020-05-09,0,50s,1958,15
2020-05-09,0,60s,1355,37
2020-05-09,0,70s,710,77
2020-05-09,0,80s,488,122
2020-05-10,0,0s,141,0
2020-05-10,0,10s,597,0
2020-05-10,0,20s,2998,0
2020-05-10,0,30s,1180,2
2020-05-10,0,40s,1442,3
2020-05-10,0,50s,1960,15
2020-05-10,0,60s,1357,37
2020-05-10,0,70s,711,77
2020-05-10,0,80s,488,122
2020-05-11,0,0s,141,0
2020-05-11,0,10s,598,0
2020-05-11,0,20s,3019,0
2020-05-11,0,30s,1188,2
2020-05-11,0,40s,1446,3
2020-05-11,0,50s,1960,15
2020-05-11,0,60s,1358,37
2020-05-11,0,70s,711,77
2020-05-11,0,80s,488,122
2020-05-12,0,0s,142,0
2020-05-12,0,10s,602,0
2020-05-12,0,20s,3029,0
2020-05-12,0,30s,1194,2
2020-05-12,0,40s,1448,3
2020-05-12,0,50s,1963,15
2020-05-12,0,60s,1358,37
2020-05-12,0,70s,711,77
2020-05-12,0,80s,489,124
2020-05-13,0,0s,143,0
2020-05-13,0,10s,603,0
2020-05-13,0,20s,3042,0
2020-05-13,0,30s,1199,2
2020-05-13,0,40s,1450,3
2020-05-13,0,50s,1964,15
2020-05-13,0,60s,1359,37
2020-05-13,0,70s,712,77
2020-05-13,0,80s,490,125
2020-05-14,0,0s,143,0
2020-05-14,0,10s,614,0
2020-05-14,0,20s,3056,0
2020-05-14,0,30s,1202,2
2020-05-14,0,40s,1451,3
2020-05-14,0,50s,1964,15
2020-05-14,0,60s,1359,38
2020-05-14,0,70s,712,77
2020-05-14,0,80s,490,125
2020-05-15,0,0s,145,0
2020-05-15,0,10s,617,0
2020-05-15,0,20s,3066,0
2020-05-15,0,30s,1207,2
2020-05-15,0,40s,1453,3
2020-05-15,0,50s,1965,15
2020-05-15,0,60s,1361,38
2020-05-15,0,70s,714,77
2020-05-15,0,80s,490,125
2020-05-16,0,0s,147,0
2020-05-16,0,10s,619,0
2020-05-16,0,20s,3074,0
2020-05-16,0,30s,1209,2
2020-05-16,0,40s,1454,3
2020-05-16,0,50s,1966,15
2020-05-16,0,60s,1364,38
2020-05-16,0,70s,714,77
2020-05-16,0,80s,490,127
2020-05-17,0,0s,147,0
2020-05-17,0,10s,620,0
2020-05-17,0,20s,3079,0
2020-05-17,0,30s,1211,2
2020-05-17,0,40s,1457,3
2020-05-17,0,50s,1967,15
2020-05-17,0,60s,1364,38
2020-05-17,0,70s,715,77
2020-05-17,0,80s,490,127
2020-05-18,0,0s,147,0
2020-05-18,0,10s,621,0
2020-05-18,0,20s,3082,0
2020-05-18,0,30s,1215,2
2020-05-18,0,40s,1462,3
2020-05-18,0,50s,1968,15
2020-05-18,0,60s,1365,38
2020-05-18,0,70s,715,78
2020-05-18,0,80s,490,127
2020-05-19,0,0s,148,0
2020-05-19,0,10s,621,0
2020-05-19,0,20s,3087,0
2020-05-19,0,30s,1215,2
2020-05-19,0,40s,1462,3
2020-05-19,0,50s,1971,15
2020-05-19,0,60s,1368,38
2020-05-19,0,70s,716,78
2020-05-19,0,80s,490,127
2020-05-20,0,0s,148,0
2020-05-20,0,10s,627,0
2020-05-20,0,20s,3100,0
2020-05-20,0,30s,1219,2
2020-05-20,0,40s,1468,3
2020-05-20,0,50s,1972,15
2020-05-20,0,60s,1369,38
2020-05-20,0,70s,717,78
2020-05-20,0,80s,490,127
2020-05-21,0,0s,148,0
2020-05-21,0,10s,631,0
2020-05-21,0,20s,3103,0
2020-05-21,0,30s,1221,2
2020-05-21,0,40s,1471,3
2020-05-21,0,50s,1972,15
2020-05-21,0,60s,1369,38
2020-05-21,0,70s,717,78
2020-05-21,0,80s,490,128
2020-05-22,0,0s,149,0
2020-05-22,0,10s,633,0
2020-05-22,0,20s,3111,0
2020-05-22,0,30s,1225,2
2020-05-22,0,40s,1473,3
2020-05-22,0,50s,1974,15
2020-05-22,0,60s,1369,38
2020-05-22,0,70s,718,78
2020-05-22,0,80s,490,128
2020-05-23,0,0s,149,0
2020-05-23,0,10s,634,0
2020-05-23,0,20s,3113,0
2020-05-23,0,30s,1231,2
2020-05-23,0,40s,1474,3
2020-05-23,0,50s,1983,15
2020-05-23,0,60s,1372,39
2020-05-23,0,70s,718,78
2020-05-23,0,80s,491,129
2020-05-24,0,0s,149,0
2020-05-24,0,10s,636,0
2020-05-24,0,20s,3117,0
2020-05-24,0,30s,1235,2
2020-05-24,0,40s,1481,3
2020-05-24,0,50s,1987,15
2020-05-24,0,60s,1375,39
2020-05-24,0,70s,719,78
2020-05-24,0,80s,491,129
2020-05-25,0,0s,149,0
2020-05-25,0,10s,637,0
2020-05-25,0,20s,3120,0
2020-05-25,0,30s,1238,2
2020-05-25,0,40s,1483,3
2020-05-25,0,50s,1992,15
2020-05-25,0,60s,1377,39
2020-05-25,0,70s,719,79
2020-05-25,0,80s,491,129
2020-05-26,0,0s,150,0
2020-05-26,0,10s,638,0
2020-05-26,0,20s,3123,0
2020-05-26,0,30s,1242,2
2020-05-26,0,40s,1486,3
2020-05-26,0,50s,1996,15
2020-05-26,0,60s,1378,39
2020-05-26,0,70s,721,79
2020-05-26,0,80s,491,131
2020-05-27,0,0s,153,0
2020-05-27,0,10s,640,0
2020-05-27,0,20s,3131,0
2020-05-27,0,30s,1248,2
2020-05-27,0,40s,1489,3
2020-05-27,0,50s,2002,15
2020-05-27,0,60s,1386,39
2020-05-27,0,70s,724,79
2020-05-27,0,80s,492,131
2020-05-28,0,0s,155,0
2020-05-28,0,10s,644,0
2020-05-28,0,20s,3146,0
2020-05-28,0,30s,1274,2
2020-05-28,0,40s,1503,3
2020-05-28,0,50s,2014,15
2020-05-28,0,60s,1392,39
2020-05-28,0,70s,724,79
2020-05-28,0,80s,492,131
2020-05-29,0,0s,156,0
2020-05-29,0,10s,650,0
2020-05-29,0,20s,3158,0
2020-05-29,0,30s,1283,2
2020-05-29,0,40s,1513,3
2020-05-29,0,50s,2023,15
2020-05-29,0,60s,1400,39
2020-05-29,0,70s,724,79
2020-05-29,0,80s,495,131
2020-05-30,0,0s,157,0
2020-05-30,0,10s,655,0
2020-05-30,0,20s,3167,0
2020-05-30,0,30s,1285,2
2020-05-30,0,40s,1517,3
2020-05-30,0,50s,2033,15
2020-05-30,0,60s,1404,39
2020-05-30,0,70s,725,79
2020-05-30,0,80s,498,131
2020-05-31,0,0s,157,0
2020-05-31,0,10s,655,0
2020-05-31,0,20s,3176,0
2020-05-31,0,30s,1292,2
2020-05-31,0,40s,1521,3
2020-05-31,0,50s,2039,15
2020-05-31,0,60s,1405,39
2020-05-31,0,70s,725,80
2020-05-31,0,80s,498,131
2020-06-01,0,0s,158,0
2020-06-01,0,10s,657,0
2020-06-01,0,20s,3178,0
2020-06-01,0,30s,1296,2
2020-06-01,0,40s,1527,3
2020-06-01,0,50s,2052,15
2020-06-01,0,60s,1410,39
2020-06-01,0,70s,727,80
2020-06-01,0,80s,498,132
2020-06-02,0,0s,158,0
2020-06-02,0,10s,659,0
2020-06-02,0,20s,3183,0
2020-06-02,0,30s,1299,2
2020-06-02,0,40s,1529,3
2020-06-02,0,50s,2061,15
2020-06-02,0,60s,1421,39
2020-06-02,0,70s,732,80
2020-06-02,0,80s,499,133
2020-06-03,0,0s,159,0
2020-06-03,0,10s,661,0
2020-06-03,0,20s,3188,0
2020-06-03,0,30s,1305,2
2020-06-03,0,40s,1534,3
2020-06-03,0,50s,2070,15
2020-06-03,0,60s,1436,39
2020-06-03,0,70s,738,81
2020-06-03,0,80s,499,133
