date,time,test,negative,confirmed,released,deceased
2020-03-08,0,188518,162008,7134,130,50
2020-03-09,0,196618,171778,7382,166,51
2020-03-10,0,210144,184179,7513,247,54
2020-03-11,0,222395,196100,7755,288,60
2020-03-12,0,234998,209402,7869,333,66
2020-03-13,0,248647,222728,7979,510,67
2020-03-14,0,261335,235615,8086,714,72
2020-03-15,0,268212,243778,8126,834,75
2020-03-16,0,274504,251297,8236,1137,75
2020-03-17,0,286716,261105,8320,1401,81
2020-03-18,0,295647,270888,8413,1540,84
2020-03-19,0,307024,282555,8565,1947,91
2020-03-20,0,316664,292487,8652,2233,94
2020-03-21,0,327509,303006,8799,2612,102
2020-03-22,0,331780,308343,8897,2909,104
2020-03-23,0,338036,315447,8961,3166,111
2020-03-24,0,348582,324105,9037,3507,120
2020-03-25,0,357896,334481,9137,3730,126
2020-03-26,0,364942,341332,9241,4144,131
2020-03-27,0,376961,352410,9332,4528,139
2020-03-28,0,387925,361883,9478,4811,144
2020-03-29,0,394141,369530,9583,5033,152
2020-03-30,0,395194,372002,9661,5228,158
2020-03-31,0,410564,383886,9786,5408,162
2020-04-01,0,421547,395075,9887,5567,165
2020-04-02,0,431743,403882,9976,5828,169
2020-04-03,0,443273,414303,10062,6021,174
2020-04-04,0,455032,424732,10156,6325,177
2020-04-05,0,461233,431425,10237,6463,183
2020-04-06,0,466804,437225,10284,6598,186
2020-04-07,0,477304,446323,10331,6694,192
2020-04-08,0,486003,457761,10384,6776,200
2020-04-09,0,494711,468779,10423,6973,204
2020-04-10,0,503051,477303,10450,7117,208
2020-04-11,0,510479,485929,10480,7243,211
2020-04-12,0,514621,490321,10512,7368,214
2020-04-13,0,518743,494815,10537,7447,217
2020-04-14,0,527438,502223,10564,7534,222
2020-04-15,0,534552,508935,10591,7616,225
2020-04-16,0,538775,513894,10613,7757,229
2020-04-17,0,546463,521642,10635,7829,230
2020-04-18,0,554834,530631,10653,7937,232
2020-04-19,0,559109,536205,10661,8042,234
2020-04-20,0,563035,540380,10674,8114,236
2020-04-21,0,571014,547610,10683,8213,237
2020-04-22,0,577959,555144,10694,8277,238
2020-04-23,0,583971,563130,10702,8411,240
2020-04-24,0,589520,569212,10708,8501,240
2020-04-25,0,595161,575184,10718,8635,240
2020-04-26,0,598285,578558,10728,8717,242
2020-04-27,0,601660,582027,10738,8764,243
2020-04-28,0,608514,588559,10752,8854,244
2020-04-29,0,614197,595129,10761,8922,246
2020-04-30,0,619881,600482,10765,9059,247
2020-05-01,0,623069,603610,10774,9072,248
2020-05-02,0,627562,608286,10780,9123,250
2020-05-03,0,630973,611592,10793,9183,250
2020-05-04,0,633921,614944,10801,9217,252
2020-05-05,0,640237,620575,10804,9283,254
2020-05-06,0,643095,624280,10806,9333,255
2020-05-07,0,649388,630149,10810,9419,256
2020-05-08,0,654863,635174,10822,9484,256
2020-05-09,0,660030,640037,10840,9568,256
2020-05-10,0,663886,642884,10874,9610,256
2020-05-11,0,668492,646661,10909,9632,256
2020-05-12,0,680890,653624,10936,9670,258
2020-05-13,0,695920,665379,10962,9695,259
2020-05-14,0,711484,679771,10991,9762,260
2020-05-15,0,726747,695854,11018,9821,260
2020-05-16,0,740645,711265,11037,9851,262
2020-05-17,0,747653,718943,11050,9888,262
2020-05-18,0,753211,726053,11065,9904,263
2020-05-19,0,765574,737571,11078,9938,263
2020-05-20,0,776433,748972,11110,10066,263
2020-05-21,0,788684,759473,11122,10135,264
2020-05-22,0,802418,770990,11142,10162,264
2020-05-23,0,814420,781686,11165,10194,266
2020-05-24,0,820289,788766,11190,10213,266
2020-05-25,0,826437,796142,11206,10226,267
2020-05-26,0,839475,806206,11225,10275,269
2020-05-27,0,852876,820550,11265,10295,269
2020-05-28,0,868666,834952,11344,10340,269
2020-05-29,0,885120,849161,11402,10363,269
2020-05-30,0,902901,865162,11441,10398,269
2020-05-31,0,910822,876060,11468,10405,270
2020-06-01,0,921391,885830,11503,10422,271
2020-06-02,0,939851,899388,11541,10446,272
2020-06-03,0,956852,917397,11590,10467,273
2020-06-04,0,973858,934030,11629,10499,273
2020-06-05,0,990960,950526,11668,10506,273
2020-06-06,0,1005305,965632,11719,10531,273
2020-06-07,0,1012769,974512,11776,10552,273
2020-06-08,0,1018214,982026,11814,10563,273
2020-06-09,0,1035997,996686,11852,10589,274
2020-06-10,0,1051972,1013847,11902,10611,276
2020-06-11,0,1066888,1029447,11947,10654,276
2020-06-12,0,1081487,1045240,12003,10669,277
2020-06-13,0,1094704,1059301,12051,10691,277
2020-06-14,0,1100328,1066887,12085,10718,277
2020-06-15,0,1105719,1072805,12121,10730,277
2020-06-16,0,1119767,1084980,12155,10760,278
2020-06-17,0,1132823,1099136,12198,10774,279
2020-06-18,0,1145712,1111741,12257,10800,280
2020-06-19,0,1158063,1124567,12306,10835,280
2020-06-20,0,1170901,1137058,12373,10856,280
2020-06-21,0,1176463,1143971,12421,10868,280
2020-06-22,0,1182066,1150225,12438,10881,280
2020-06-23,0,1196012,1161250,12484,10908,281
2020-06-24,0,1208597,1175817,12535,10930,281
2020-06-25,0,1220478,1189015,12563,10974,282
2020-06-26,0,1232315,1200885,12602,11172,282
2020-06-27,0,1243780,1211261,12653,11317,282
2020-06-28,0,1251695,1219975,12715,11364,282
2020-06-29,0,1259954,1228698,12757,11429,282
2020-06-30,0,1273766,1240157,12800,11537,282
