date,time,sex,confirmed,deceased
2020-04-16,0,male,4272,122
2020-04-16,0,female,6341,107
2020-04-17,0,male,4286,122
2020-04-17,0,female,6349,108
2020-04-18,0,male,4293,124
2020-04-18,0,female,6360,108
2020-04-19,0,male,4297,124
2020-04-19,0,female,6364,110
2020-04-20,0,male,4302,125
2020-04-20,0,female,6372,111
2020-04-21,0,male,4308,125
2020-04-21,0,female,6375,112
2020-04-22,0,male,4314,126
2020-04-22,0,female,6380,112
2020-04-23,0,male,4318,127
2020-04-23,0,female,6384,113
2020-04-24,0,male,4323,127
2020-04-24,0,female,6385,113
2020-04-25,0,male,4327,127
2020-04-25,0,female,6391,113
2020-04-26,0,male,4333,127
2020-04-26,0,female,6395,115
2020-04-27,0,male,4337,127
2020-04-27,0,female,6401,116
2020-04-28,0,male,4344,128
2020-04-28,0,female,6408,116
2020-04-29,0,male,4348,129
2020-04-29,0,female,6413,117
2020-04-30,0,male,4352,130
2020-04-30,0,female,6413,117
2020-05-01,0,male,4356,130
2020-05-01,0,female,6418,118
2020-05-02,0,male,4362,130
2020-05-02,0,female,6418,120
2020-05-03,0,male,4369,130
2020-05-03,0,female,6424,120
2020-05-04,0,male,4375,131
2020-05-04,0,female,6426,121
2020-05-05,0,male,4377,131
2020-05-05,0,female,6427,123
2020-05-06,0,male,4379,132
2020-05-06,0,female,6427,123
2020-05-07,0,male,4382,133
2020-05-07,0,female,6428,123
2020-05-08,0,male,4389,133
2020-05-08,0,female,6433,123
2020-05-09,0,male,4406,133
2020-05-09,0,female,6434,123
2020-05-10,0,male,4430,133
2020-05-10,0,female,6444,123
2020-05-11,0,male,4461,133
2020-05-11,0,female,6448,123
2020-05-12,0,male,4481,133
2020-05-12,0,female,6455,125
2020-05-13,0,male,4499,134
2020-05-13,0,female,6463,125
2020-05-14,0,male,4516,135
2020-05-14,0,female,6475,125
2020-05-15,0,male,4532,135
2020-05-15,0,female,6486,125
2020-05-16,0,male,4544,136
2020-05-16,0,female,6493,126
2020-05-17,0,male,4549,136
2020-05-17,0,female,6501,126
2020-05-18,0,male,4560,137
2020-05-18,0,female,6505,126
2020-05-19,0,male,4569,137
2020-05-19,0,female,6509,126
2020-05-20,0,male,4592,137
2020-05-20,0,female,6518,126
2020-05-21,0,male,4601,138
2020-05-21,0,female,6521,126
2020-05-22,0,male,4616,138
2020-05-22,0,female,6526,126
2020-05-23,0,male,4628,140
2020-05-23,0,female,6537,126
2020-05-24,0,male,4643,140
2020-05-24,0,female,6547,126
2020-05-25,0,male,4651,141
2020-05-25,0,female,6555,126
2020-05-26,0,male,4664,142
2020-05-26,0,female,6561,127
2020-05-27,0,male,4680,142
2020-05-27,0,female,6585,127
2020-05-28,0,male,4727,142
2020-05-28,0,female,6617,127
2020-05-29,0,male,4759,142
2020-05-29,0,female,6643,127
2020-05-30,0,male,4780,142
2020-05-30,0,female,6661,127
2020-05-31,0,male,4795,143
2020-05-31,0,female,6673,127
2020-06-01,0,male,4806,143
2020-06-01,0,female,6697,128
2020-06-02,0,male,4829,144
2020-06-02,0,female,6712,128
2020-06-03,0,male,4852,145
2020-06-03,0,female,6738,128
2020-06-04,0,male,4872,145
2020-06-04,0,female,6757,128
2020-06-05,0,male,4893,145
2020-06-05,0,female,6775,128
2020-06-06,0,male,4920,145
2020-06-06,0,female,6799,128
2020-06-07,0,male,4950,145
2020-06-07,0,female,6826,128
2020-06-08,0,male,4962,145
2020-06-08,0,female,6852,128
2020-06-09,0,male,4980,146
2020-06-09,0,female,6872,128
2020-06-10,0,male,5002,147
2020-06-10,0,female,6900,129
2020-06-11,0,male,5030,147
2020-06-11,0,female,6917,129
2020-06-12,0,male,5061,147
2020-06-12,0,female,6942,130
2020-06-13,0,male,5081,147
2020-06-13,0,female,6970,130
2020-06-14,0,male,5097,147
2020-06-14,0,female,6988,130
2020-06-15,0,male,5116,147
2020-06-15,0,female,7005,130
2020-06-16,0,male,5138,148
2020-06-16,0,female,7017,130
2020-06-17,0,male,5156,149
2020-06-17,0,female,7042,130
2020-06-18,0,male,5181,150
2020-06-18,0,female,7076,130
2020-06-19,0,male,5206,150
2020-06-19,0,female,7100,130
2020-06-20,0,male,5245,150
2020-06-20,0,female,7128,130
2020-06-21,0,male,5270,150
2020-06-21,0,female,7151,130
2020-06-22,0,male,5279,150
2020-06-22,0,female,7159,130
2020-06-23,0,male,5314,150
2020-06-23,0,female,7170,131
2020-06-24,0,male,5345,150
2020-06-24,0,female,7190,131
2020-06-25,0,male,5360,151
2020-06-25,0,female,7203,131
2020-06-26,0,male,5384,151
2020-06-26,0,female,7218,131
2020-06-27,0,male,5412,151
2020-06-27,0,female,7241,131
2020-06-28,0,male,5450,151
2020-06-28,0,female,7265,131
2020-06-29,0,male,5470,151
2020-06-29,0,female,7287,131
2020-06-30,0,male,5495,151
2020-06-30,0,female,7305,131
